Symbol,Year,Total Shares,Asset,Equity,Liability,Revenue,Gross Profit,Net Profit,EPS,Price Book,Price,GPM,NPM,ROE,PBV,PER
LPKR,2019,70.898.018.369,,28.775.017.000.000,,12.177.173.000.000,4.453.167.000.000,-2.061.418.000.000,"-29,08","405,86","242,00","36,57","-16,93","-7,16","0,60","-8,32"
LPKR,2020,70.898.018.369,,19.477.479.000.000,,11.810.955.000.000,4.131.383.000.000,-9.637.220.000.000,"-135,93","274,73","214,00","34,98","-81,60","-49,48","0,78","-1,57"
LPKR,2021,70.898.018.369,,18.751.979.000.000,,16.138.531.000.000,5.549.822.000.000,-1.623.183.000.000,"-22,89","264,49","141,00","34,39","-10,06","-8,66","0,53","-6,16"
LPKR,2022,70.898.018.369,,15.322.559.000.000,,14.674.086.000.000,6.149.199.000.000,-2.327.495.000.000,"-32,83","216,12","79,00","41,91","-15,86","-15,19","0,37","-2,41"
LPKR,2023,70.898.018.369,,15.314.603.000.000,,16.846.905.000.000,7.367.903.000.000,653.699.000.000,"9,22","216,01","97,00","43,73","3,88","4,27","0,45","10,52"
LPKR,2024 (Q3),70.898.018.369,,29.821.130.000.000,,1.219.607.000.000,641.656.000.000,-1.170.709.000.000,"-16,51","420,62","106,00","52,61","-95,99","-3,93","0,25","-6,42"
BSDE,2019,21.171.365.812,,29.149.454.031.225,,7.084.864.038.574,5.066.065.950.126,3.130.076.000.000,"147,84","1.376,83","1.383,00","71,51","44,18","10,74","1,00","9,35"
BSDE,2020,21.171.365.812,,30.119.334.419.012,,6.180.589.086.059,4.251.843.237.741,486.258.000.000,"22,97","1.422,64","1.256,00","68,79","7,87","1,61","0,88","54,69"
BSDE,2021,21.171.365.812,,31.455.607.639.979,,7.654.802.250.986,4.740.050.960.862,1.538.841.000.000,"72,69","1.485,76","1.125,00","61,92","20,10","4,89","0,76","15,48"
BSDE,2022,21.171.365.812,,33.637.320.346.628,,10.235.479.955.727,6.826.040.341.832,2.656.886.000.000,"125,49","1.588,81","977,00","66,69","25,96","7,90","0,61","7,79"
BSDE,2023,21.171.365.812,,36.470.759.665.574,,11.539.141.250.155,6.411.686.645.543,2.259.457.000.000,"106,72","1.722,65","992,00","55,56","19,58","6,20","0,58","9,30"
BSDE,2024 (Q3),21.171.365.812,,39.192.300.643.780,,10.067.006.558.505,6.590.916.217.747,368.868.029.000,"17,42","1.851,19","1.016,00","65,47","3,66","0,94","0,55","58,31"
SMRA,2019,16.508.568.358,,9.451.000.000.000,,5.942.000.000.000,2.850.000.000.000,515.000.000.000,"31,20","172,64","1.102,00","47,96","8,67","5,45","6,38","35,33"
SMRA,2020,16.508.568.358,,6.845.845.769.000,,5.029.984.099.000,2.292.075.764.000,179.835.308.000,"10,89","138,84","730,00","45,57","3,58","2,63","5,26","67,01"
SMRA,2021,16.508.568.358,,8.661.167.870.000,,5.567.912.577.000,2.593.970.017.000,549.696.051.000,"33,30","157,13","900,00","46,59","9,87","6,35","5,73","27,03"
SMRA,2022,16.508.568.358,,9.197.405.990.000,,5.719.396.239.000,2.999.762.563.000,771.743.500.000,"46,75","181,71","600,00","52,45","13,49","8,39","3,30","12,83"
SMRA,2023,16.508.568.358,,9.826.809.976.000,,6.658.782.663.000,3.359.527.957.000,1.057.692.007.000,"64,07","203,50","570,00","50,45","15,88","10,76","2,80","8,90"
SMRA,2024 (Q3),16.508.568.358,,10.627.806.532.000,,1.868.448.432.000,7.541.309.058.000,180.026.189.000,"10,91","456,81","605,00","403,61","9,64","1,69","1,32","55,48"
PWON,2019,48.159.602.400,,14.971.364.155.000,,7.202.001.193.000,4.057.834.971.000,2.719.532.999.000,"56,47","84,26","682,00","56,34","37,76","18,16","8,09","12,08"
PWON,2020,48.159.602.400,,14.635.479.007.000,,3.977.211.311.000,1.940.892.818.000,929.918.580.000,"19,31","40,30","438,00","48,80","23,38","6,35","10,87","22,68"
PWON,2021,48.159.602.400,,16.046.705.530.000,,5.713.272.952.000,2.764.044.220.000,1.382.548.068.000,"28,71","57,39","507,00","48,38","24,20","8,62","8,83","17,66"
PWON,2022,48.159.602.400,,17.307.627.395.000,,5.987.432.707.000,3.218.740.942.000,1.538.835.030.000,"31,95","66,83","497,00","53,76","25,70","8,89","7,44","15,55"
PWON,2023,48.159.602.400,,19.096.579.347.000,,6.200.438.405.000,3.400.687.953.000,2.105.210.332.000,"43,71","70,61","458,00","54,85","33,95","11,02","6,49","10,48"
PWON,2024 (Q3),48.159.602.400,,20.315.773.168.000,,1.525.011.470.000,869.448.242.000,816.185.672.000,"16,95","18,05","448,00","57,01","53,52","4,02","24,82","26,43"
